,NAICS Code,Kind of business,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,441,Motor vehicle and parts dealers,418393.0,472916.0,541141.0,579715.0,627507.0,653817.0,688415.0,764204.0,796210.0,815579.0,818811.0,841588.0,866372.0,888307.0,899997.0,910139.0,785725.0,671523.0,742547.0,812695.0,886494.0,959188.0,1021184.0
1,4411,Automobile dealers,358444.0,407126.0,468100.0,501684.0,543949.0,564658.0,593501.0,661820.0,687782.0,707676.0,706682.0,722260.0,738074.0,753071.0,760798.0,767403.0,649390.0,551797.0,620890.0,684302.0,752778.0,819020.0,875443.0
2,44111,New car dealers,333801.0,379522.0,435661.0,464642.0,502340.0,518972.0,542559.0,606167.0,630123.0,649413.0,645759.0,659205.0,670553.0,681947.0,685622.0,687707.0,575506.0,486418.0,549260.0,608566.0,672550.0,735134.0,785058.0
3,44112,Used car dealers,24643.0,27604.0,32439.0,37042.0,41609.0,45686.0,50942.0,55653.0,57659.0,58263.0,60923.0,63055.0,67521.0,71124.0,75176.0,79696.0,73884.0,65379.0,71630.0,75736.0,80228.0,83886.0,90385.0
4,4412,Other motor vehicle dealers,18026.0,20980.0,23801.0,26128.0,27994.0,30615.0,34915.0,39735.0,44989.0,46811.0,49507.0,55112.0,61515.0,65171.0,66924.0,68001.0,60039.0,45544.0,43785.0,45463.0,49581.0,55025.0,59747.0
5,4413,"Automotive parts, access, and tire stores",41923.0,44810.0,49240.0,51903.0,55564.0,58544.0,59999.0,62649.0,63439.0,61092.0,62622.0,64216.0,66783.0,70065.0,72275.0,74735.0,76296.0,74182.0,77872.0,82930.0,84135.0,85143.0,85994.0
6,442,Furniture and home furnishings stores,52336.0,55456.0,60416.0,63470.0,67707.0,72715.0,77412.0,84294.0,91170.0,91484.0,94438.0,96736.0,103757.0,109120.0,112795.0,111144.0,98816.0,84924.0,85451.0,87697.0,91542.0,95331.0,99687.0
7,4421,Furniture stores,31552.0,33299.0,35503.0,36977.0,39168.0,41877.0,44110.0,47022.0,50617.0,50572.0,51264.0,51719.0,55849.0,58745.0,60122.0,59288.0,52708.0,45809.0,46661.0,47672.0,49752.0,50871.0,53272.0
8,4422,Home furnishings stores,20784.0,22157.0,24913.0,26493.0,28539.0,30838.0,33302.0,37272.0,40553.0,40912.0,43174.0,45017.0,47908.0,50375.0,52673.0,51856.0,46108.0,39115.0,38790.0,40025.0,41790.0,44460.0,46415.0
9,44221,Floor covering stores,10597.0,11460.0,12765.0,13704.0,14639.0,16050.0,16961.0,18409.0,19519.0,19208.0,19025.0,19543.0,20907.0,22125.0,23154.0,22071.0,18762.0,15298.0,14568.0,14761.0,15483.0,16753.0,17709.0
