NAICS Code,Kind of business,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
441,   Motor vehicle and parts dealers ,"1,021,184","959,188","886,494","812,695","742,547","671,523","785,725","910,139","899,997","888,307","866,372","841,588","818,811","815,579","796,210","764,204","688,415","653,817","627,507","579,715","541,141","472,916","418,393"
4411,    Automobile dealers ,"875,443","819,020","752,778","684,302","620,890","551,797","649,390","767,403","760,798","753,071","738,074","722,260","706,682","707,676","687,782","661,820","593,501","564,658","543,949","501,684","468,100","407,126","358,444"
44111,   New car dealers ,"785,058","735,134","672,550","608,566","549,260","486,418","575,506","687,707","685,622","681,947","670,553","659,205","645,759","649,413","630,123","606,167","542,559","518,972","502,340","464,642","435,661","379,522","333,801"
44112,   Used car dealers ,"90,385","83,886","80,228","75,736","71,630","65,379","73,884","79,696","75,176","71,124","67,521","63,055","60,923","58,263","57,659","55,653","50,942","45,686","41,609","37,042","32,439","27,604","24,643"
4412,   Other motor vehicle dealers ,"59,747","55,025","49,581","45,463","43,785","45,544","60,039","68,001","66,924","65,171","61,515","55,112","49,507","46,811","44,989","39,735","34,915","30,615","27,994","26,128","23,801","20,980","18,026"
4413,"   Automotive parts, access, and tire stores ","85,994","85,143","84,135","82,930","77,872","74,182","76,296","74,735","72,275","70,065","66,783","64,216","62,622","61,092","63,439","62,649","59,999","58,544","55,564","51,903","49,240","44,810","41,923"
442,   Furniture and home furnishings stores ,"99,687","95,331","91,542","87,697","85,451","84,924","98,816","111,144","112,795","109,120","103,757","96,736","94,438","91,484","91,170","84,294","77,412","72,715","67,707","63,470","60,416","55,456","52,336"
4421,   Furniture stores ,"53,272","50,871","49,752","47,672","46,661","45,809","52,708","59,288","60,122","58,745","55,849","51,719","51,264","50,572","50,617","47,022","44,110","41,877","39,168","36,977","35,503","33,299","31,552"
4422,   Home furnishings stores ,"46,415","44,460","41,790","40,025","38,790","39,115","46,108","51,856","52,673","50,375","47,908","45,017","43,174","40,912","40,553","37,272","33,302","30,838","28,539","26,493","24,913","22,157","20,784"
44221,   Floor covering stores ,"17,709","16,753","15,483","14,761","14,568","15,298","18,762","22,071","23,154","22,125","20,907","19,543","19,025","19,208","19,519","18,409","16,961","16,050","14,639","13,704","12,765","11,460","10,597"
44229,   Other home furnishings stores ,"28,706","27,707","26,307","25,264","24,222","23,817","27,346","29,785","29,519","28,250","27,001","25,474","24,149","21,704","21,034","18,863","16,341","14,788","13,900","12,789","12,148","10,697","10,187"
442299,      All other home furnishings stores ,"27,211","26,431","25,195","24,169","23,116","22,643","25,791","28,063","27,724","26,579","25,579","24,213","22,897","20,547","19,916","17,761","15,288","13,791","12,851","11,763","11,189","9,787","9,303"
443,   Electronics and appliance stores ,"104,012","103,264","102,060","99,790","97,280","95,282","105,276","106,599","105,477","100,461","93,896","86,442","83,740","80,240","82,206","78,977","74,527","70,061","68,363","64,770","57,266","48,614","42,631"
4431,   Electronics and appliance stores ,"104,012","103,264","102,060","99,790","97,280","95,282","105,276","106,599","105,477","100,461","93,896","86,442","83,740","80,240","82,206","78,977","74,527","70,061","68,363","64,770","57,266","48,614","42,631"
44311,"   Appl, TV, and other elect stores ","73,564","73,250","72,795","72,040","71,414","72,785","80,953","82,129","81,895","77,374","72,183","66,051","63,254","60,158","58,176","52,149","46,581","42,992","43,246","42,080","37,880","32,548","28,944"
443111,      Household appliance stores ,"17,062","17,124","16,415","15,822","15,453","15,287","16,987","17,799","17,745","16,792","15,608","14,464","14,205","13,479","12,630","12,082","11,099","10,374","10,215","9,980","9,045","9,137","8,437"
